json index,label index,Video ID number,main entry gloss label,entry/variant gloss label,occurrence label,start frame of video clip containing the sign,end frame of video clip containing the sign,start frame of the sign,end frame of the sign,Dominant start handshape,Non-dominant start handshape,Dominant end handshape,Non-dominant end handshape,video file,sign type
9,0,9,#ALL,#ALL,#ALL,225,350,275,300,A,,L,,ASL_2008_01_11_scene12-camera1.mov,Loan Signs
10,0,10,#ALL,#ALL,#ALL,2492,2620,2542,2570,A,,L,,ASL_2008_05_12a_scene9-camera1.mov,Loan Signs
11,0,11,#ALL,#ALL,#ALL,2872,2992,2922,2942,A,,L,,ASL_2008_08_04_scene8-camera1.mov,Loan Signs
12,0,12,#ALL,#ALL,#ALL,7788,7907,7838,7857,A,,L,,ASL_2011_06_08_Brady_scene10-camera1.mov,Loan Signs
13,0,13,#ALL,#ALL,#ALL,400,538,450,488,A,,L,,ASL_2007_05_24_scene5-camera1.mov,Loan Signs
14,0,14,#ALL,#ALL_2,#ALL_2,346,466,396,416,A,,L,,ASL_2006_10_10_scene2-camera1.mov,Loan Signs
15,1,15,#ASL,#ASL,#ASL,630,755,680,705,A,,L,,ASL_2008_01_11_scene23-camera1.mov,Loan Signs
16,1,16,#ASL,#ASL,#ASL,2902,3050,2952,3000,A,,L,,ASL_2008_05_12a_scene10-camera1.mov,Loan Signs
17,1,17,#ASL,#ASL,#ASL,2581,2716,2631,2666,A,,L,,ASL_2008_05_12a_scene15-camera1.mov,Loan Signs
18,1,18,#ASL,#ASL,#ASL,2361,2480,2411,2430,A,,L,,ASL_2008_08_04_scene15-camera1.mov,Loan Signs
19,1,19,#ASL,#ASL,#ASL,6086,6210,6136,6160,A,,L,,ASL_2011_06_08_Brady_scene11-camera1.mov,Loan Signs
20,1,20,#ASL,#ASL,#ASL,7916,8035,7966,7985,A,,L,,ASL_2011_06_08_Brady_scene13-camera1.mov,Loan Signs
21,2,21,#BACK,#BACK,#BACK,1086,1221,1136,1171,B,,K,,ASL_2008_01_11_scene28-camera1.mov,Loan Signs
22,2,22,#BACK,#BACK,#BACK,3885,4002,3935,3952,S,,K,,ASL_2008_05_12a_scene18-camera1.mov,Loan Signs
23,2,23,#BACK,#BACK,#BACK,1168,1296,1218,1246,flat-B,,3,,ASL_2011_06_08_Brady_scene15-camera1.mov,Loan Signs
24,2,24,#BACK,#BACK_2,#BACK_2,2673,2785,2723,2735,B,,K,,ASL_2008_08_04_scene18-camera1.mov,Loan Signs
56,3,56,#FF,#FF,#FF,1710,1845,1760,1795,F,,F,,ASL_2008_01_18_scene49-camera1.mov,Loan Signs
57,3,57,#FF,#FF,#FF,1495,1617,1545,1567,F,,F,,ASL_2008_05_29a_scene30-camera1.mov,Loan Signs
58,3,58,#FF,#FF,#FF,1291,1415,1341,1365,F,,F,,ASL_2008_08_06_scene49-camera1.mov,Loan Signs
59,3,59,#FF,#FF,#FF,829,941,879,891,F,,F,,ASL_2011_06_14_Brady_scene23-camera1.mov,Loan Signs
60,3,60,#FF,#FF,#FF,2361,2509,2411,2459,F,,F,,ASL_2007_05_24_scene15-camera1.mov,Loan Signs
61,3,61,#FF,#FF_2,#FF_2,2426,2550,2476,2500,F,,F,,ASL_2006_10_10_scene11-camera1.mov,Loan Signs
122,4,122,CORNER,(1)CORNER,(1)CORNER,2930,3082,2980,3032,1,1,1,1,ASL_2008_01_18_scene5-camera1.mov,Lexical Signs
123,4,123,CORNER,(1)CORNER,(1)CORNER,4075,4206,4125,4156,1,1,1,1,ASL_2008_08_06_scene5-camera1.mov,Lexical Signs
124,4,124,CORNER,(1)CORNER,(1)CORNER,7532,7680,7582,7630,1,1,1,1,ASL_2011_06_08_Brady_scene30-camera1.mov,Lexical Signs
126,5,126,FAR,(1)FAR,(1)FAR,270,411,320,361,1,,1,,ASL_2006_10_10_scene9-camera1.mov,Lexical Signs
127,5,127,FAR,(1)FAR,(1)FAR,285,431,335,381,1,,1,,ASL_2007_05_24_scene13-camera1.mov,Lexical Signs
136,6,136,THROW,(1)THROW,(1)THROW,2151,2280,2201,2230,S,,1,,ASL_2008_03_28_scene16-camera1.mov,Lexical Signs
137,6,137,THROW,(1)THROW,(1)THROW,427,554,477,504,S,,1,,ASL_2011_07_22_Brady_scene5-camera1.mov,Lexical Signs
138,6,138,THROW,(1)THROW,(1)THROW,3283,3404,3333,3354,cocked-S,,1,,ASL_2011_07_22_Brady_scene55-camera1.mov,Lexical Signs
148,7,148,HOSPITAL,(10)HOSPITAL,(10)HOSPITAL,1442,1627,1492,1577,10,,10,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene6-camera1.mov,Lexical Signs
150,8,150,GO,(1h)(5)GO,(1h)(5)GO,1075,1205,1125,1155,5,,5,,ASL_2008_05_29a_scene38-camera1.mov,Lexical Signs
